row_id,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,1,aa,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
1,2,aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,  10:30 p.m. ,10:30 p.m.
2,3,aa,NA,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
3,4,aa, ,6:40 a.m.,6:54 A.m.,9:25 a.m.,9:28 a.m.
4,5,aa,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
5,6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
6,7,aa,AA-3468-CVG-MIA,7:00 a..m.,7:2 5a.m.,9:55 a.m.,9:45 a.m.
7,8,aa, ,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
8,9,aa,,11:50 a.m.,12:12 p.m.,  3:50 p.m. ,4:09 p.m.
9,10,aa,,6:00 a.m.,6:08 a..m.,9:20 am.,9:05 a.m.
10,11,aa,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 pm..,1:40 p.m.
11,12,aa,AA-2957-DFW-CVG,7:55 a.mm.,8:04 a.m.,11:05 a.m.,11:01 a.m.
12,13,NA,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
13,14,aa,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
14,15,N/A,AA-1279-DFW-PHX,1:00 p.m.,2:04p.m.,2:35 p.m.,3:30 p.m.
15,16,NA,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
16,17,aa,AA-4344-ORD-DTW,11:45 a.m.,12:13 p..m,2:00 p.m.,2:10 P.m.
17,18,aa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
18,19,aa,,6:45 a.m.,6:577 a.m.,7:45 a.m.,7:40 a.m.
19,20,aa,A,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
20,21,aa,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
21,22,NA,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
22,23,a,,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
23,24,aa,A-4307-ORD-DTW,6:45 p.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.
24,25,aa,AA-3-JFK-LAX,12:00 p.m.,12::11 p.m.,3:15 p.m.,3:16 p.m.
