row_id,column,original_value,injected_value,error_type,error_family
321.0,City,anniston,,missing_empty_string,missing_values
484.0,City,ozark, ,missing_whitespace,missing_values
439.0,City,anchorage,unknown,missing_unknown_string,missing_values
87.0,City,florence,,missing_empty_string,missing_values
84.0,City,florence, ,missing_whitespace,missing_values
299.0,City,birmingham,NA,missing_NA_string,missing_values
419.0,City,sylacauga,N/A,missing_N/A_string,missing_values
604.0,City,elba,NA,missing_NA_string,missing_values
221.0,City,fort payne,,missing_nan,missing_values
564.0,City,montgomery, ,missing_whitespace,missing_values
526.0,City,montgomery,,missing_nan,missing_values
874.0,City,hamilton,,missing_empty_string,missing_values
507.0,City,centre,,missing_empty_string,missing_values
712.0,City,tallassee,,missing_empty_string,missing_values
620.0,City,opelika,,missing_nan,missing_values
346.0,City,dothan,,missing_nan,missing_values
707.0,City,tallassee,unknown,missing_unknown_string,missing_values
590.0,City,valley, ,missing_whitespace,missing_values
752.0,City,andalusia,,missing_nan,missing_values
189.0,City,guntersville,,missing_empty_string,missing_values
692.0,City,tallassee,N/A,missing_N/A_string,missing_values
693.0,City,tallassee, ,missing_whitespace,missing_values
66.0,City,boaz,unknown,missing_unknown_string,missing_values
703.0,City,tallassee,unknown,missing_unknown_string,missing_values
32.0,City,dothan,N/A,missing_N/A_string,missing_values
138.0,City,luverne,NA,missing_NA_string,missing_values
164.0,City,hartselle,,missing_empty_string,missing_values
792.0,City,huntsville, ,missing_whitespace,missing_values
515.0,City,centre,unknown,missing_unknown_string,missing_values
832.0,City,clanton,,missing_nan,missing_values
326.0,City,anniston,unknown,missing_unknown_string,missing_values
943.0,City,georgiana,,missing_nan,missing_values
871.0,City,hamilton,unknown,missing_unknown_string,missing_values
641.0,City,wedowee,unknown,missing_unknown_string,missing_values
913.0,City,gadsden,,missing_nan,missing_values
348.0,City,birmingham,NA,missing_NA_string,missing_values
632.0,City,opelika,,missing_nan,missing_values
785.0,City,huntsville,N/A,missing_N/A_string,missing_values
741.0,City,andalusia, ,missing_whitespace,missing_values
267.0,City,thomasville,,missing_nan,missing_values
282.0,City,alabaster,NA,missing_NA_string,missing_values
161.0,City,hartselle, ,missing_whitespace,missing_values
914.0,City,gadsden,,missing_empty_string,missing_values
813.0,City,gadsden,,missing_nan,missing_values
120.0,City,luverne,NA,missing_NA_string,missing_values
57.0,City,boaz,N/A,missing_N/A_string,missing_values
885.0,City,fayette,N/A,missing_N/A_string,missing_values
721.0,City,cullman,,missing_empty_string,missing_values
404.0,City,prattville, ,missing_whitespace,missing_values
55.0,City,boaz,N/A,missing_N/A_string,missing_values
236.0,City,fort payne,,missing_empty_string,missing_values
387.0,City,mobile, ,missing_whitespace,missing_values
298.0,City,birmingham, ,missing_whitespace,missing_values
679.0,City,birmingham,NA,missing_NA_string,missing_values
260.0,City,thomasville,,missing_nan,missing_values
639.0,City,opelika,N/A,missing_N/A_string,missing_values
717.0,City,cullman,N/A,missing_N/A_string,missing_values
125.0,City,luverne,,missing_nan,missing_values
602.0,City,elba,N/A,missing_N/A_string,missing_values
408.0,City,prattville, ,missing_whitespace,missing_values
858.0,City,hamilton,,missing_nan,missing_values
598.0,City,elba,unknown,missing_unknown_string,missing_values
450.0,City,bethel,,missing_nan,missing_values
736.0,City,cullman,unknown,missing_unknown_string,missing_values
258.0,City,thomasville,NA,missing_NA_string,missing_values
103.0,City,opp,,missing_nan,missing_values
37.0,City,dothan, ,missing_whitespace,missing_values
304.0,City,birmingham,,missing_nan,missing_values
128.0,City,luverne,N/A,missing_N/A_string,missing_values
929.0,City,gadsden,,missing_empty_string,missing_values
530.0,City,montgomery, ,missing_whitespace,missing_values
277.0,City,alabaster,unknown,missing_unknown_string,missing_values
960.0,City,enterprise,unknown,missing_unknown_string,missing_values
416.0,City,sylacauga,NA,missing_NA_string,missing_values
488.0,City,ozark,NA,missing_NA_string,missing_values
600.0,City,elba,N/A,missing_N/A_string,missing_values
394.0,City,prattville,unknown,missing_unknown_string,missing_values
757.0,City,andalusia, ,missing_whitespace,missing_values
162.0,City,hartselle,,missing_nan,missing_values
531.0,City,montgomery,N/A,missing_N/A_string,missing_values
316.0,City,anniston,,missing_nan,missing_values
289.0,City,alabaster,,missing_empty_string,missing_values
939.0,City,georgiana,unknown,missing_unknown_string,missing_values
861.0,City,hamilton,,missing_empty_string,missing_values
468.0,City,ozark,unknown,missing_unknown_string,missing_values
323.0,City,anniston,NA,missing_NA_string,missing_values
202.0,City,birmingham,,missing_empty_string,missing_values
920.0,City,gadsden,NA,missing_NA_string,missing_values
995.0,City,oneonta,N/A,missing_N/A_string,missing_values
522.0,City,montgomery,unknown,missing_unknown_string,missing_values
76.0,City,florence,N/A,missing_N/A_string,missing_values
