row_id,column,original_value,injected_value,error_type,error_family
393.0,City,prattville,,missing_nan,missing_values
496.0,City,centre,unknown,missing_unknown_string,missing_values
436.0,City,anchorage,,missing_empty_string,missing_values
84.0,City,florence,unknown,missing_unknown_string,missing_values
778.0,City,huntsville,,missing_nan,missing_values
966.0,City,enterprise,unknown,missing_unknown_string,missing_values
628.0,City,opelika,unknown,missing_unknown_string,missing_values
695.0,City,tallassee,unknown,missing_unknown_string,missing_values
273.0,City,alabaster,N/A,missing_N/A_string,missing_values
444.0,City,anchorage,NA,missing_NA_string,missing_values
352.0,City,birmingham,unknown,missing_unknown_string,missing_values
677.0,City,birmingham,,missing_empty_string,missing_values
413.0,City,russellville,unknown,missing_unknown_string,missing_values
67.0,City,boaz,N/A,missing_N/A_string,missing_values
759.0,City,andalusia,NA,missing_NA_string,missing_values
505.0,City,centre,N/A,missing_N/A_string,missing_values
485.0,City,ozark,N/A,missing_N/A_string,missing_values
752.0,City,andalusia,,missing_nan,missing_values
193.0,City,guntersville,,missing_nan,missing_values
813.0,City,gadsden,,missing_empty_string,missing_values
545.0,City,montgomery,,missing_nan,missing_values
804.0,City,gadsden,NA,missing_NA_string,missing_values
163.0,City,hartselle,unknown,missing_unknown_string,missing_values
668.0,City,birmingham,N/A,missing_N/A_string,missing_values
874.0,City,hamilton,NA,missing_NA_string,missing_values
891.0,City,fayette, ,missing_whitespace,missing_values
418.0,City,sylacauga,N/A,missing_N/A_string,missing_values
982.0,City,oneonta,,missing_nan,missing_values
820.0,City,gadsden,unknown,missing_unknown_string,missing_values
902.0,City,gadsden,N/A,missing_N/A_string,missing_values
625.0,City,opelika,N/A,missing_N/A_string,missing_values
623.0,City,opelika,N/A,missing_N/A_string,missing_values
708.0,City,tallassee,N/A,missing_N/A_string,missing_values
441.0,City,anchorage,,missing_nan,missing_values
938.0,City,georgiana,N/A,missing_N/A_string,missing_values
692.0,City,tallassee,unknown,missing_unknown_string,missing_values
62.0,City,boaz,,missing_empty_string,missing_values
733.0,City,cullman,N/A,missing_N/A_string,missing_values
434.0,City,anchorage,,missing_nan,missing_values
847.0,City,clanton,NA,missing_NA_string,missing_values
533.0,City,montgomery,NA,missing_NA_string,missing_values
223.0,City,fort payne, ,missing_whitespace,missing_values
82.0,City,florence,,missing_empty_string,missing_values
762.0,City,andalusia,,missing_empty_string,missing_values
736.0,City,cullman,NA,missing_NA_string,missing_values
177.0,City,guntersville, ,missing_whitespace,missing_values
360.0,City,winfield, ,missing_whitespace,missing_values
124.0,City,luverne,,missing_nan,missing_values
90.0,City,florence,,missing_empty_string,missing_values
817.0,City,gadsden,unknown,missing_unknown_string,missing_values
338.0,State,al,unknown,missing_unknown_string,missing_values
392.0,State,al,,missing_nan,missing_values
625.0,State,al,,missing_empty_string,missing_values
489.0,State,al,NA,missing_NA_string,missing_values
360.0,State,al,,missing_empty_string,missing_values
491.0,State,al,,missing_empty_string,missing_values
488.0,State,al,N/A,missing_N/A_string,missing_values
280.0,State,al,,missing_nan,missing_values
814.0,State,al,unknown,missing_unknown_string,missing_values
633.0,State,al,,missing_nan,missing_values
451.0,State,ak,,missing_empty_string,missing_values
685.0,State,al,N/A,missing_N/A_string,missing_values
87.0,State,al,unknown,missing_unknown_string,missing_values
376.0,State,al,,missing_empty_string,missing_values
996.0,State,al,,missing_empty_string,missing_values
103.0,State,al, ,missing_whitespace,missing_values
55.0,State,al, ,missing_whitespace,missing_values
403.0,State,al,N/A,missing_N/A_string,missing_values
534.0,State,al,NA,missing_NA_string,missing_values
157.0,State,al,NA,missing_NA_string,missing_values
341.0,State,al,N/A,missing_N/A_string,missing_values
