row_id,column,original_value,injected_value,error_type,error_family
429.0,City,sylacauga, ,missing_whitespace,missing_values
922.0,City,gadsden,NA,missing_NA_string,missing_values
979.0,City,enterprise, ,missing_whitespace,missing_values
445.0,City,anchorage,NA,missing_NA_string,missing_values
419.0,City,sylacauga,unknown,missing_unknown_string,missing_values
739.0,City,cullman,NA,missing_NA_string,missing_values
147.0,City,hartselle,,missing_empty_string,missing_values
314.0,City,anniston,unknown,missing_unknown_string,missing_values
155.0,City,hartselle, ,missing_whitespace,missing_values
656.0,City,wedowee,,missing_empty_string,missing_values
168.0,City,hartselle,unknown,missing_unknown_string,missing_values
475.0,City,ozark,,missing_empty_string,missing_values
391.0,City,mobile,unknown,missing_unknown_string,missing_values
763.0,City,andalusia,unknown,missing_unknown_string,missing_values
358.0,City,winfield,NA,missing_NA_string,missing_values
633.0,City,opelika,unknown,missing_unknown_string,missing_values
823.0,City,gadsden,,missing_empty_string,missing_values
183.0,City,guntersville,,missing_nan,missing_values
830.0,City,clanton,,missing_nan,missing_values
963.0,City,enterprise,NA,missing_NA_string,missing_values
211.0,City,birmingham, ,missing_whitespace,missing_values
886.0,City,fayette,,missing_nan,missing_values
846.0,City,clanton,NA,missing_NA_string,missing_values
117.0,City,opp,unknown,missing_unknown_string,missing_values
157.0,City,hartselle,,missing_empty_string,missing_values
771.0,City,anniston,unknown,missing_unknown_string,missing_values
772.0,City,anniston,,missing_empty_string,missing_values
184.0,City,guntersville,unknown,missing_unknown_string,missing_values
950.0,City,georgiana,N/A,missing_N/A_string,missing_values
139.0,City,luverne,N/A,missing_N/A_string,missing_values
238.0,City,fort payne,,missing_empty_string,missing_values
517.0,City,montgomery,NA,missing_NA_string,missing_values
690.0,City,birmingham, ,missing_whitespace,missing_values
479.0,City,ozark,,missing_nan,missing_values
506.0,City,centre,unknown,missing_unknown_string,missing_values
287.0,City,alabaster,NA,missing_NA_string,missing_values
875.0,City,hamilton,unknown,missing_unknown_string,missing_values
720.0,City,cullman,N/A,missing_N/A_string,missing_values
596.0,City,elba,NA,missing_NA_string,missing_values
759.0,City,andalusia,,missing_empty_string,missing_values
932.0,City,georgiana,N/A,missing_N/A_string,missing_values
835.0,City,clanton,,missing_nan,missing_values
523.0,City,montgomery,N/A,missing_N/A_string,missing_values
385.0,City,mobile,,missing_nan,missing_values
412.0,City,russellville,N/A,missing_N/A_string,missing_values
464.0,City,sheffield,N/A,missing_N/A_string,missing_values
620.0,City,opelika,,missing_nan,missing_values
64.0,City,boaz,unknown,missing_unknown_string,missing_values
695.0,City,tallassee,NA,missing_NA_string,missing_values
221.0,City,fort payne,unknown,missing_unknown_string,missing_values
591.0,City,elba,,missing_nan,missing_values
893.0,City,fayette,,missing_empty_string,missing_values
655.0,City,wedowee,NA,missing_NA_string,missing_values
353.0,City,decatur,,missing_empty_string,missing_values
422.0,City,sylacauga,,missing_empty_string,missing_values
450.0,City,bethel,N/A,missing_N/A_string,missing_values
856.0,City,hamilton,,missing_nan,missing_values
470.0,City,ozark,unknown,missing_unknown_string,missing_values
671.0,City,birmingham,,missing_nan,missing_values
712.0,City,tallassee,,missing_empty_string,missing_values
373.0,City,winfield,N/A,missing_N/A_string,missing_values
