row_id,column,original_value,injected_value,error_type,error_family
424.0,Age,0.225,N/A,missing_N/A_string,missing_values
609.0,Age,0.5,unknown,missing_unknown_string,missing_values
504.0,Age,0.2,unknown,missing_unknown_string,missing_values
151.0,Age,0.275, ,missing_whitespace,missing_values
788.0,Age,0.0125,unknown,missing_unknown_string,missing_values
42.0,Age,0.35,,missing_empty_string,missing_values
705.0,Age,0.4875,,missing_nan,missing_values
556.0,Age,0.6,N/A,missing_N/A_string,missing_values
760.0,Age,0.35, ,missing_whitespace,missing_values
575.0,Age,0.2375, ,missing_whitespace,missing_values
30.0,Age,0.5,,missing_empty_string,missing_values
161.0,Age,0.5,,missing_empty_string,missing_values
484.0,Age,0.3125,,missing_nan,missing_values
693.0,Age,0.3125,,missing_nan,missing_values
265.0,Age,0.45,N/A,missing_N/A_string,missing_values
23.0,Age,0.35,N/A,missing_N/A_string,missing_values
56.0,Age,0.2625,NA,missing_NA_string,missing_values
560.0,Age,0.35,,missing_empty_string,missing_values
641.0,Age,0.3,unknown,missing_unknown_string,missing_values
464.0,Age,0.35,NA,missing_NA_string,missing_values
106.0,Age,0.2625,unknown,missing_unknown_string,missing_values
765.0,Age,0.6375, ,missing_whitespace,missing_values
91.0,Age,0.25,,missing_empty_string,missing_values
343.0,Age,0.3125,,missing_empty_string,missing_values
486.0,Age,0.4375, ,missing_whitespace,missing_values
214.0,Age,0.35,N/A,missing_N/A_string,missing_values
221.0,Age,0.3375,,missing_empty_string,missing_values
429.0,Age,0.4,N/A,missing_N/A_string,missing_values
287.0,Age,0.275,N/A,missing_N/A_string,missing_values
276.0,Age,0.5625, ,missing_whitespace,missing_values
524.0,Age,0.35,,missing_empty_string,missing_values
184.0,Age,0.05, ,missing_whitespace,missing_values
234.0,Age,0.3, ,missing_whitespace,missing_values
250.0,Age,0.35,,missing_empty_string,missing_values
426.0,Age,0.35,,missing_nan,missing_values
342.0,Age,0.35,N/A,missing_N/A_string,missing_values
780.0,Age,0.1625,,missing_nan,missing_values
584.0,Age,0.35,,missing_empty_string,missing_values
769.0,Age,0.4,NA,missing_NA_string,missing_values
69.0,Age,0.325, ,missing_whitespace,missing_values
294.0,Age,0.3, ,missing_whitespace,missing_values
83.0,Age,0.35,,missing_nan,missing_values
86.0,Age,0.2, ,missing_whitespace,missing_values
672.0,Age,0.875,,missing_nan,missing_values
578.0,Age,0.35,unknown,missing_unknown_string,missing_values
773.0,Age,0.35, ,missing_whitespace,missing_values
315.0,Age,0.325, ,missing_whitespace,missing_values
520.0,Age,0.375,,missing_empty_string,missing_values
260.0,Age,0.35, ,missing_whitespace,missing_values
268.0,Age,0.725,,missing_nan,missing_values
206.0,Age,0.4,N/A,missing_N/A_string,missing_values
555.0,Age,0.775,NA,missing_NA_string,missing_values
438.0,Age,0.8,,missing_empty_string,missing_values
334.0,Age,0.35,,missing_nan,missing_values
