row_id,column,original_value,injected_value,error_type,error_family
347.0,Age,0.35,,missing_empty_string,missing_values
153.0,Age,0.50625,N/A,missing_N/A_string,missing_values
530.0,Age,0.025,unknown,missing_unknown_string,missing_values
583.0,Age,0.45, ,missing_whitespace,missing_values
50.0,Age,0.0875,NA,missing_NA_string,missing_values
436.0,Age,0.2625,,missing_nan,missing_values
678.0,Age,0.5375,unknown,missing_unknown_string,missing_values
654.0,Age,0.225,N/A,missing_N/A_string,missing_values
720.0,Age,0.075,unknown,missing_unknown_string,missing_values
67.0,Age,0.2375,,missing_nan,missing_values
98.0,Age,0.425,,missing_empty_string,missing_values
402.0,Age,0.2625,unknown,missing_unknown_string,missing_values
328.0,Age,0.3875,unknown,missing_unknown_string,missing_values
604.0,Age,0.4375,NA,missing_NA_string,missing_values
348.0,Age,0.0375,unknown,missing_unknown_string,missing_values
313.0,Age,0.35, ,missing_whitespace,missing_values
648.0,Age,0.35,NA,missing_NA_string,missing_values
395.0,Age,0.275, ,missing_whitespace,missing_values
353.0,Age,0.3125,,missing_empty_string,missing_values
178.0,Age,0.375,,missing_empty_string,missing_values
332.0,Age,0.475,unknown,missing_unknown_string,missing_values
699.0,Age,0.525,N/A,missing_N/A_string,missing_values
584.0,Age,0.35,,missing_nan,missing_values
219.0,Age,0.375,unknown,missing_unknown_string,missing_values
746.0,Age,0.2,,missing_empty_string,missing_values
71.0,Age,0.2,unknown,missing_unknown_string,missing_values
651.0,Age,0.225,,missing_nan,missing_values
287.0,Age,0.275,unknown,missing_unknown_string,missing_values
141.0,Age,0.275,unknown,missing_unknown_string,missing_values
387.0,Age,0.45,unknown,missing_unknown_string,missing_values
642.0,Age,0.025,N/A,missing_N/A_string,missing_values
551.0,Age,0.3375,NA,missing_NA_string,missing_values
72.0,Age,0.2625,unknown,missing_unknown_string,missing_values
494.0,Age,0.2625,,missing_empty_string,missing_values
563.0,Age,0.35,unknown,missing_unknown_string,missing_values
501.0,Age,0.2625,N/A,missing_N/A_string,missing_values
426.0,Age,0.35,NA,missing_NA_string,missing_values
65.0,Age,0.35,N/A,missing_N/A_string,missing_values
608.0,Age,0.275,N/A,missing_N/A_string,missing_values
68.0,Age,0.2125,252.93,outlier_value,outliers
679.0,Age,0.45,108.18,outlier_value,outliers
346.0,Age,0.5,179.08,outlier_value,outliers
515.0,Age,0.5875,161.58,outlier_value,outliers
70.0,Age,0.4,283.89,outlier_value,outliers
609.0,Age,0.5,221.65,outlier_value,outliers
342.0,Age,0.35,261.01,outlier_value,outliers
349.0,Fare,0.0169080739493278,7726.02,outlier_value,outliers
429.0,Fare,0.0157125535690723,3932.54,outlier_value,outliers
72.0,Fare,0.1434624456306609,9724.56,outlier_value,outliers
355.0,Fare,0.0185427650815139,8995.34,outlier_value,outliers
179.0,Fare,0.0,7916.8,outlier_value,outliers
598.0,Fare,0.0141022608119935,2429.6,outlier_value,outliers
439.0,Fare,0.0204946350900944,4987.18,outlier_value,outliers
155.0,Sex,1,1,typo_too_short_unchanged,typos
99.0,Sex,1,1,typo_too_short_unchanged,typos
658.0,Sex,1,1,typo_too_short_unchanged,typos
569.0,Sex,1,1,typo_too_short_unchanged,typos
655.0,Sex,1,1,typo_too_short_unchanged,typos
649.0,Sex,0,0,typo_too_short_unchanged,typos
68.0,Sex,0,0,typo_too_short_unchanged,typos
754.0,Sex,0,0,typo_too_short_unchanged,typos
331.0,Sex,1,1,typo_too_short_unchanged,typos
290.0,Sex,0,0,typo_too_short_unchanged,typos
350.0,Sex,1,1,typo_too_short_unchanged,typos
351.0,Sex,1,1,typo_too_short_unchanged,typos
406.0,Sex,1,1,typo_too_short_unchanged,typos
72.0,Sex,1,1,typo_too_short_unchanged,typos
589.0,Sex,1,1,typo_too_short_unchanged,typos
356.0,Sex,0,0,typo_too_short_unchanged,typos
430.0,Sex,1,1,typo_too_short_unchanged,typos
317.0,Sex,1,1,typo_too_short_unchanged,typos
727.0,Sex,0,0,typo_too_short_unchanged,typos
506.0,Sex,0,0,typo_too_short_unchanged,typos
610.0,Sex,0,0,typo_too_short_unchanged,typos
335.0,Sex,1,1,typo_too_short_unchanged,typos
556.0,Sex,0,0,typo_too_short_unchanged,typos
66.0,Sex,0,0,typo_too_short_unchanged,typos
391.0,Sex,1,1,typo_too_short_unchanged,typos
143.0,Sex,1,1,typo_too_short_unchanged,typos
590.0,Sex,1,1,typo_too_short_unchanged,typos
614.0,Sex,1,1,typo_too_short_unchanged,typos
399.0,Sex,0,0,typo_too_short_unchanged,typos
500.0,Sex,1,1,typo_too_short_unchanged,typos
536.0,Sex,1,1,typo_too_short_unchanged,typos
100.0,Age,0.35,0.35€,typo_unit_suffix_injected,typos
739.0,Age,0.35,0.35kg,typo_unit_suffix_injected,typos
76.0,Age,0.35,0.O35,typo_letter_inside_number,typos
694.0,Age,0.75,0.75€,typo_unit_suffix_injected,typos
279.0,Age,0.4375,O.4375,typo_zero_as_letter_O,typos
522.0,Age,0.35,0B.35,typo_letter_inside_number,typos
652.0,Age,0.2625,O.2625,typo_zero_as_letter_O,typos
605.0,Age,0.45,0.45S,typo_unit_suffix_injected,typos
344.0,Age,0.45,O.45,typo_zero_as_letter_O,typos
125.0,Age,0.15,0.15l,typo_unit_suffix_injected,typos
657.0,Age,0.4,0j.4,typo_letter_inside_number,typos
341.0,Age,0.3,0l.3,typo_letter_inside_number,typos
494.0,Age,,O,typo_zero_as_letter_O,typos
613.0,Age,0.35,O.35,typo_zero_as_letter_O,typos
58.0,Age,0.0625,0.0625B,typo_unit_suffix_injected,typos
146.0,Age,0.3375,0.3375O,typo_unit_suffix_injected,typos
532.0,Age,0.2125,0.212B5,typo_letter_inside_number,typos
369.0,Age,0.3,0.3€,typo_unit_suffix_injected,typos
550.0,Age,0.2125,0.2125S,typo_unit_suffix_injected,typos
567.0,Age,0.3625,O.3625,typo_zero_as_letter_O,typos
176.0,Age,0.35,0.35l,typo_unit_suffix_injected,typos
249.0,Age,0.675,O.675,typo_zero_as_letter_O,typos
734.0,Age,0.2875,0.28O75,typo_letter_inside_number,typos
314.0,Age,0.5375,0.5375€,typo_unit_suffix_injected,typos
256.0,Age,0.35,O.35,typo_zero_as_letter_O,typos
439.0,Age,0.3875,0.3875j,typo_unit_suffix_injected,typos
284.0,Age,0.35,O.35,typo_zero_as_letter_O,typos
361.0,Age,0.3625,0.3B625,typo_letter_inside_number,typos
637.0,Age,0.3875,O.3875,typo_zero_as_letter_O,typos
357.0,Age,0.475,O.475,typo_zero_as_letter_O,typos
246.0,Age,0.3125,0.31S25,typo_letter_inside_number,typos
382.0,Fare,0.0154685698179998,0.0154685698179998S,typo_unit_suffix_injected,typos
67.0,Fare,0.0159239410910016,0.l0159239410910016,typo_letter_inside_number,typos
606.0,Fare,0.0154115752137492,0.0154115752137492l,typo_unit_suffix_injected,typos
90.0,Fare,0.0157125535690723,O.0157125535690723,typo_zero_as_letter_O,typos
100.0,Fare,0.0154115752137492,0.015411575213749S2,typo_letter_inside_number,typos
617.0,Fare,0.0314251071381447,0.0314251071381447€,typo_unit_suffix_injected,typos
733.0,Fare,0.0253743101115454,0.0253743101115454S,typo_unit_suffix_injected,typos
75.0,Fare,0.0149318055656402,O.0149318055656402,typo_zero_as_letter_O,typos
360.0,Fare,0.0544571732393937,O.0544571732393937,typo_zero_as_letter_O,typos
557.0,Fare,0.4440992237022602,0.4440992237022602j,typo_unit_suffix_injected,typos
354.0,Fare,0.0141022608119935,0.0141022608119935B,typo_unit_suffix_injected,typos
203.0,Fare,0.0141022608119935,O.0141022608119935,typo_zero_as_letter_O,typos
205.0,Fare,0.0204214399647726,O.0204214399647726,typo_zero_as_letter_O,typos
276.0,Fare,0.0151269925664982,0.0151269B925664982,typo_letter_inside_number,typos
712.0,Fare,0.1014972404461818,0.1B014972404461818,typo_letter_inside_number,typos
62.0,Fare,0.1629323489662505,0.1629323489662505€,typo_unit_suffix_injected,typos
739.0,Fare,0.0154115752137492,0.015B4115752137492,typo_letter_inside_number,typos
213.0,Fare,0.0253743101115454,O.0253743101115454,typo_zero_as_letter_O,typos
206.0,Fare,0.0309371396359996,0.0309371396359996B,typo_unit_suffix_injected,typos
700.0,Fare,0.4440992237022602,0.4440992237022602kg,typo_unit_suffix_injected,typos
352.0,Fare,0.0141104586660295,O.0141104586660295,typo_zero_as_letter_O,typos
462.0,Fare,0.0751469953303461,0S.0751469953303461,typo_letter_inside_number,typos
559.0,Fare,0.0339625381492993,0.0339625381492993j,typo_unit_suffix_injected,typos
540.0,Fare,0.1385827706092098,O.1385827706092098,typo_zero_as_letter_O,typos
262.0,Fare,0.1554664461834305,O.1554664461834305,typo_zero_as_letter_O,typos
593.0,Fare,0.0151269925664982,0.0151269925664982O,typo_unit_suffix_injected,typos
753.0,Fare,0.0154115752137492,O.0154115752137492,typo_zero_as_letter_O,typos
577.0,Fare,0.1091095334796455,O.1091095334796455,typo_zero_as_letter_O,typos
282.0,Fare,0.0185427650815139,0.01854276508€15139,typo_letter_inside_number,typos
351.0,Fare,0.0683154503003147,0.0683j154503003147,typo_letter_inside_number,typos
260.0,Fare,0.0151269925664982,0.0151269925664982O,typo_unit_suffix_injected,typos
