row_id,column,original_value,injected_value,error_type,error_family
381.0,Age,0.0125,N/A,missing_N/A_string,missing_values
752.0,Age,0.4125,N/A,missing_N/A_string,missing_values
751.0,Age,0.075,unknown,missing_unknown_string,missing_values
609.0,Age,0.5, ,missing_whitespace,missing_values
784.0,Age,0.3125,N/A,missing_N/A_string,missing_values
363.0,Age,0.4375,NA,missing_NA_string,missing_values
447.0,Age,0.425,NA,missing_NA_string,missing_values
297.0,Age,0.025,NA,missing_NA_string,missing_values
375.0,Age,0.35,unknown,missing_unknown_string,missing_values
404.0,Age,0.25,,missing_empty_string,missing_values
253.0,Age,0.375,,missing_empty_string,missing_values
51.0,Age,0.2625,NA,missing_NA_string,missing_values
420.0,Age,0.35,,missing_nan,missing_values
272.0,Age,0.5125,,missing_nan,missing_values
335.0,Age,0.35,,missing_nan,missing_values
527.0,Age,0.35,unknown,missing_unknown_string,missing_values
314.0,Age,0.5375,unknown,missing_unknown_string,missing_values
580.0,Age,0.3125,unknown,missing_unknown_string,missing_values
771.0,Age,0.6,NA,missing_NA_string,missing_values
706.0,Age,0.5625,unknown,missing_unknown_string,missing_values
382.0,Age,0.4,,missing_nan,missing_values
179.0,Age,0.45, ,missing_whitespace,missing_values
61.0,Age,0.475,N/A,missing_N/A_string,missing_values
330.0,Age,0.35, ,missing_whitespace,missing_values
679.0,Age,0.45,,missing_nan,missing_values
169.0,Age,0.35,NA,missing_NA_string,missing_values
577.0,Age,0.4875,unknown,missing_unknown_string,missing_values
573.0,Age,0.35,NA,missing_NA_string,missing_values
745.0,Age,0.875,NA,missing_NA_string,missing_values
93.0,Age,0.325,,missing_nan,missing_values
47.0,Age,0.35,NA,missing_NA_string,missing_values
468.0,Age,0.35,,missing_empty_string,missing_values
540.0,Age,0.45,,missing_empty_string,missing_values
289.0,Age,0.275,unknown,missing_unknown_string,missing_values
621.0,Age,0.525,N/A,missing_N/A_string,missing_values
593.0,Age,0.35,N/A,missing_N/A_string,missing_values
529.0,Age,0.2875,NA,missing_NA_string,missing_values
374.0,Age,0.0375, ,missing_whitespace,missing_values
310.0,Age,0.3,,missing_nan,missing_values
68.0,Age,0.2125,NA,missing_NA_string,missing_values
617.0,Age,0.325,,missing_nan,missing_values
553.0,Age,0.275,NA,missing_NA_string,missing_values
576.0,Age,0.425, ,missing_whitespace,missing_values
623.0,Age,0.2625,NA,missing_NA_string,missing_values
367.0,Age,0.35, ,missing_whitespace,missing_values
319.0,Age,0.5,NA,missing_NA_string,missing_values
643.0,Age,0.35,unknown,missing_unknown_string,missing_values
726.0,Age,0.375,NA,missing_NA_string,missing_values
664.0,Age,0.25,,missing_empty_string,missing_values
683.0,Age,0.175,unknown,missing_unknown_string,missing_values
260.0,Age,0.35, ,missing_whitespace,missing_values
124.0,Age,0.675,,missing_empty_string,missing_values
714.0,Age,0.65,unknown,missing_unknown_string,missing_values
268.0,Age,0.725,,missing_empty_string,missing_values
63.0,Age,0.05,unknown,missing_unknown_string,missing_values
736.0,Age,0.6,unknown,missing_unknown_string,missing_values
707.0,Age,0.525,NA,missing_NA_string,missing_values
516.0,Age,0.425,unknown,missing_unknown_string,missing_values
145.0,Age,0.2375,,missing_empty_string,missing_values
208.0,Age,0.2,,missing_nan,missing_values
572.0,Age,0.45,,missing_nan,missing_values
522.0,Age,0.35,NA,missing_NA_string,missing_values
614.0,Age,0.4375, ,missing_whitespace,missing_values
59.0,Age,0.1375,,missing_nan,missing_values
475.0,Age,0.35,NA,missing_NA_string,missing_values
33.0,Age,0.825,unknown,missing_unknown_string,missing_values
782.0,Age,0.3625,,missing_empty_string,missing_values
329.0,Age,0.2,unknown,missing_unknown_string,missing_values
118.0,Age,0.3,,missing_empty_string,missing_values
357.0,Age,0.475,unknown,missing_unknown_string,missing_values
134.0,Age,0.3125,N/A,missing_N/A_string,missing_values
502.0,Age,0.35,N/A,missing_N/A_string,missing_values
148.0,Age,0.45625,,missing_empty_string,missing_values
338.0,Age,0.5625,NA,missing_NA_string,missing_values
284.0,Age,0.35, ,missing_whitespace,missing_values
534.0,Age,0.375,,missing_nan,missing_values
414.0,Age,0.55,unknown,missing_unknown_string,missing_values
102.0,Age,0.2625,NA,missing_NA_string,missing_values
278.0,Age,0.0875,unknown,missing_unknown_string,missing_values
69.0,Age,0.325,129.99,outlier_value,outliers
74.0,Age,0.4,202.01,outlier_value,outliers
510.0,Age,0.3625,94.04,outlier_value,outliers
790.0,Age,0.35,262.08,outlier_value,outliers
158.0,Age,0.35,218.97,outlier_value,outliers
568.0,Age,0.35,246.78,outlier_value,outliers
67.0,Age,0.2375,158.0,outlier_value,outliers
581.0,Age,0.4875,293.55,outlier_value,outliers
342.0,Age,0.35,276.49,outlier_value,outliers
672.0,Age,0.875,251.24,outlier_value,outliers
338.0,Age,NA,122.82,outlier_value,outliers
414.0,Age,unknown,182.68,outlier_value,outliers
602.0,Age,0.35,89.64,outlier_value,outliers
547.0,Age,0.35,113.94,outlier_value,outliers
769.0,Age,0.4,230.27,outlier_value,outliers
60.0,Fare,0.0141104586660295,8423.24,outlier_value,outliers
321.0,Fare,0.0154115752137492,8164.78,outlier_value,outliers
344.0,Fare,0.0253743101115454,4242.3,outlier_value,outliers
627.0,Fare,0.1521644676899149,3310.28,outlier_value,outliers
710.0,Fare,0.0966257632787668,7015.46,outlier_value,outliers
149.0,Fare,0.0253743101115454,1913.67,outlier_value,outliers
718.0,Fare,0.0302539851329965,2479.14,outlier_value,outliers
286.0,Fare,0.0185427650815139,669.21,outlier_value,outliers
291.0,Fare,0.1777747588854978,7997.09,outlier_value,outliers
102.0,Fare,0.1508551532881592,6849.6,outlier_value,outliers
366.0,Fare,0.1468782181456766,7228.55,outlier_value,outliers
580.0,Fare,0.0585561002574126,7938.85,outlier_value,outliers
756.0,Fare,0.0152163882128912,4913.81,outlier_value,outliers
255.0,Fare,0.0297578197768153,5946.17,outlier_value,outliers
370.0,Fare,0.1082149914547131,1914.09,outlier_value,outliers
538.0,Sex,1,1,typo_too_short_unchanged,typos
697.0,Sex,0,0,typo_too_short_unchanged,typos
742.0,Sex,0,0,typo_too_short_unchanged,typos
628.0,Sex,1,1,typo_too_short_unchanged,typos
584.0,Sex,1,1,typo_too_short_unchanged,typos
479.0,Sex,0,0,typo_too_short_unchanged,typos
69.0,Sex,1,1,typo_too_short_unchanged,typos
790.0,Sex,1,1,typo_too_short_unchanged,typos
565.0,Sex,1,1,typo_too_short_unchanged,typos
