column,dtype_detected,pct_missing,n_unique,min,max,mean,std
Unnamed: 0,numeric,0.0,792,0.0,791.0,395.5,228.77
PassengerId,numeric,0.0,792,1.0,792.0,396.5,228.77
Survived,numeric,0.0,2,0.0,1.0,0.39,0.49
Sex,numeric,0.0,2,0.0,1.0,0.65,0.48
Age,numeric,0.0,85,0.008375,1.0,0.37,0.16
Fare,numeric,0.0,232,0.0,1.0,0.06,0.1
Pclass_1,numeric,0.0,2,0.0,1.0,0.24,0.43
Pclass_2,numeric,0.0,2,0.0,1.0,0.21,0.41
Pclass_3,numeric,0.0,2,0.0,1.0,0.55,0.5
Family_size,numeric,0.0,9,0.0,1.0,0.09,0.15
Title_1,numeric,0.0,2,0.0,1.0,0.74,0.44
Title_2,numeric,0.0,2,0.0,1.0,0.01,0.07
Title_3,numeric,0.0,2,0.0,1.0,0.04,0.2
Title_4,numeric,0.0,2,0.0,1.0,0.21,0.41
Emb_1,numeric,0.0,2,0.0,1.0,0.19,0.39
Emb_2,numeric,0.0,2,0.0,1.0,0.09,0.29
Emb_3,numeric,0.0,2,0.0,1.0,0.72,0.45
