row_id,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,1,aa,AA-3859-IAH-ORD,07:10,07:16,09:40,09:32
1,2,aa,AA-1733-ORD-PHX,19:45,19:58,22:30,22:30
2,3,aa,unknown,18:30,18:30,19:25,19:25
3,4,aa,unknown,06:40,06:54,09:25,09:28
4,5,aa,AA-3756-ORD-SLC,12:15,12:41,14:45,14:50
5,6,aa,AA-204-LAX-MCO,23:25,23:25,06:55,06:55
6,7,aa,AA-3468-CVG-MIA,7:00 a..m.,7:2 5a.m.,09:55,09:45
7,8,aa,unknown,16:15,16:29,19:55,19:39
8,9,aa,unknown,11:50,12:12,15:50,16:09
9,10,aa,unknown,06:00,6:08 a..m.,9:20 am.,09:05
10,11,aa,AA-1886-BOS-MIA,10:45,10:55,2:20 pm..,13:40
11,12,aa,AA-2957-DFW-CVG,7:55 a.mm.,08:04,11:05,11:01
12,13,aa,AA-1664-MIA-ATL,10:15,10:18,12:10,11:56
13,14,aa,AA-3979-CVG-ORD,07:30,08:04,08:00,08:06
14,15,aa,AA-1279-DFW-PHX,13:00,14:04,14:35,15:30
15,16,aa,AA-616-DFW-DTW,09:05,10:10,12:35,13:27
16,17,aa,AA-4344-ORD-DTW,11:45,12:13 p..m,14:00,14:10
17,18,aa,AA-2525-DFW-MIA,07:25,07:39,11:10,11:06
18,19,aa,unknown,06:45,6:577 a.m.,07:45,07:40
19,20,aa,A,11:35,11:52,14:25,14:27
20,21,aa,AA-2050-ORD-MIA,10:40,11:05,14:45,14:46
21,22,aa,AA-4330-CVG-ORD,15:35,15:36,16:00,15:33
22,23,aa,unknown,07:15,07:21,10:35,10:36
23,24,aa,A-4307-ORD-DTW,18:45,18:55,21:10,20:53
24,25,aa,AA-3-JFK-LAX,12:00,12::11 p.m.,15:15,15:16
25,26,aa,AA-3842-MSP-ORD,06:00,06:56,07:30,07:51
26,27,aa,unknown,07:10,07:30,09:35,09:31
27,28,aa,AA-1007-MIAA-PHX,16:55,17:08,20:05,19:55
28,29,aa,AA-1221-MCO-ORD,20:00,20:23,21:45,21:53
29,30,aa,AA-400-DFW-JFK,10:40,11:01,14:59,15:04
30,31,aa,AA-4198-ORD-CLE,10:40,10:54,12:55,12:50
31,32,aa,AA-1522-SFO-ORD,23:55,23:55,05:50,05:50
32,33,aa,AA-3823-LAX-DEN,21:00,21:00,00:15,00:15
33,34,aa,AA-2312-DFW-DTW,8:2 5p.m.,20:25,23:50,23:50
34,35,aa,unknown,06:59,07:22,10:34,10:04
35,36,aa,AA-341-MIA-SFO,08:35,08:15,111:50 a.m.,11:44
36,37,aa,AA-649-ORD-SNA,13:30,13:30,15:50,15:50
37,38,aa,AA-3063-SLC-LAX,20:20,20:39,21:20,21:20
38,39,aa,unknown,14:35,14:44,16:05,15:43
39,40,aa,unknown,14:55,15:27,17:55,17:43
40,41,aa,AA-2268-PHX-ORD,07:15,07:22,11:35,11:06
41,42,aa,unknown,12:10,12:10,14:15,13:43
42,43,aa,AA-789-ORD-DEN,13:05,13:19,14:35,15:13
43,44,aa,AA-415-BOS-ORD,08:35,08:56,10:40,10:16
44,45,aa,AA-85-JFK-SFO,15:05,15:36,18:30,18:43
45,46,aa,AA-1544-SAN-ORD,11:25,11:40,17:25,16:56
46,47,aa,AA-3786-IAH-ORD,16:00,16:12,18:40,18:15
47,48,aa,AA-222-LAX-BOS,07:10,07:31,15:30,15:14
48,49,aa,AA-3809-PHX-LAX,06:00,06:10,06:40,06:19
49,50,Unknown,AA-59-JFK-SFO,07:10,07:39,10:45,11:12
50,51,aa,AA-3859-IAH-ORD,07:10,07:16,09:40,09:32
51,52,helloflight,unknown,19:00,19:14,22:15,22:29
52,53,helloflight,AA-518-MIA-JFK,06:40,06:54,09:25,09:28
53,54,helloflight,unknown,08:00,08:29,11:55,11:58
54,55,helloflight,UA-3925-IAD-OF,08:41,08:42,09:54,09:43
55,56,helloflight,AA-1733-ORD-PHX,19:45,19:58,22:30,22:30
56,57,helloflight,UA-2830-MCO-CLT,15:27,15:27,17:05,17:17
57,58,helloflight,unknown,11:25,11:32,2::50 p.m.,15:31
58,59,aa,AA-1544-SAN-ORD,11:25,111:40 a.m.,17:25,16:56
59,60,helloflight,UA-5487-SFO-MRY,10:39,103:3 a.m.,11:19 am..,11:21
60,61,helloflight,AA-204-LAX-MCO,23:25,23:25,06:55,06:55
61,62,helloflight,unknown,06:00,05:56,07:23,07:17
62,63,aa,unknown,00:30,00:41,05:35,05:26
63,64,helloflight,UA-2726-FLL-PHL,16:00,16:00,18:46,18:28
64,65,helloflight,CO-52-IAH-LAX,07:35,07:29,09:21,09:14
65,66,helloflight,CO-1090-BOS-IAH,09:45,10:19,13:16,13:19
66,67,helloflight,AA-616-DFW-DTW,09:05,10:10,12:35,13:27
67,68,helloflight,UA-3515-IAD-MSP,08:15,:12 a.m.,10:06,09:56
68,69,helloflight,unknown,07:00,07:25,09:55,09:45
69,70,helloflight,AA-484-DFW-MIA,16:15,16:29,19:55,19:39
70,71,helloflight,unknown,10:45,10:55,14:20,13:40
71,72,aa,COO-62-IAH-EWR,14:30,14:48,7:03 .m.,19:10
72,73,aa,CO-1561-PHX-IAH,08:05,08:00,11:35,11:32
73,74,helloflight,UA-2314-ATL-PHL,14:55,14:55,17:00,16:47
74,75,helloflight,AA-446-DFW-PHL,11:50,12:12,15:50,16:09
75,76,aa,unknown,11:40,11:56,13:17,13:14
76,77,helloflight,AA-466-iah-mia,06:00,06:08,9:20 aa.m.,09:05
77,78,helloflight,UA-3050-PHX-CLT,11:05,11:30,16:57,17:05
78,79,helloflight,CO-89-IAH-EWR,06:00,06:02,10:20,10:27
79,80,helloflight,unknown,08:40,08:04,10:54,10:56
80,81,helloflight,AA-1664-MIA-ATL,10:15,10:18,12:10 pm..,11:56
81,82,helloflight,AA-1279-DFW-PHX,1:000 p.m.,14:04,14:35,15:30
82,83,helloflight,UA-854-SFO-IAH,07:53,07:49,13:39,13:30
83,84,aa,UA-382-IAD-LAX,12:30,12:35,15:19,15:21
84,85,helloflight,AA-4344-ORD-DTW,11:45,12:13,14:00,14:10
85,86,aa,UA-257-JFK-SFO,14:30,14:26,18:15,17:42
86,87,helloflight,UA-2945-PHL-CLT,12:00 a..,03:11,1:45p .m.,13:15
87,88,helloflight,CO-63-EWR-IAH,17:25,17:22,20:22,20:03
88,89,helloflight,CO-47-IAH-LAX,19:10,8:25 p..m,20:56,21:52
89,90, ,AA-2050-ORD-MIA,10:40,11:05,2:45 pm.,14:46
90,91,helloflight,UA-248-PHX-ORD,12:57,13:32,17:15,17:34
91,92,helloflight,AA-4330-CVG-ORD,15:35,15:36,16:00,15:33
92,93,helloflight,unknown,:15 a.m.,07:21,10:35,10:36
93,94,helloflight,AA-1640-MIA-MCO,18:30,18:30,19:25,19:25
94,95,helloflight,unknown,18:45,18:55,21:10,20:53
95,96,helloflight,AA-3-JFK-LXA,12:00,12:11,3:15 p.mm.,31:6 p.m.
96,97,helloflight,unknown,19:15,19:15,00:21,12:21 a..m
97,98,helloflight,UA-84-LAX-ORD,13:55,14:10,19:53,19:58
98,99,helloflight,unknown,09:15,09:14,12:18,12:09
99,100,helloflight,AA-3842-MSP-ORD,06:00,06:56,07:30,07:51
100,101,helloflight,AA-643-MIA-ORD,07:10,07:30,9:35 a..,09:31
101,102,aa,unknown,16:55,17:08,20:05,19:55
102,103,aa,AA-25525-DFW-MIA,07:25,07:39,11:10,11:06
103,104,helloflight,unknown,15:50,16:28,18:23,18:38
104,105,helloflight,AU-938-DEN-ORD,16:16,16:15,19:35,19:36
105,106,helloflight,unknown,20:00,20:23,21:45,21:53
106,107,helloflight,CO-16-LAX--EWR,10:25,10:20,18:44,18:34
107,108,helloflight,unknown,07:05,07:05,10:31,10:47
108,109,helloflight,AA-400-DFW-JFK,10:40,11:01,14:59,15:04
109,110,helloflight,UA-664-ORD-PHL,1:33p .m.,13:31,44:31 p.m.,16:23
