row_id,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,1,aa,AA-3859-IAH-ORD,07:10,07:16,09:40,09:32
1,2,aa,AA-1733-ORD-PHX,19:45,19:58,22:30,22:30
2,3,aa,AA-1640-MIA-MCO,18:30,18:30,19:25,19:25
3,4,aa,AA-518-MIA-JFK,06:40,06:54,09:25,09:28
4,5,aa,AA-3756-ORD-SLC,12:15,12:41,14:45,14:50
5,6,aa,AA-204-LAX-MCO,23:25,23:25,06:55,:55 a.m.
6,7,aa,AA-3468-CVG-MIA,07:00,07:25,09:55,09:45
7,8,aa,AA-484-DFW-MIA,16:15,16:29,19:55,19:39
8,9,aa,AA-446-DFW-PHL,11:50,12:12,15:50,16:09
9,10,aa,AA-466-IAH-MIA,06:00,06:08,09:02,09:05
10,11,aa,AA-1886-BOS-MIA,10:45,10:55,14:20,13:40
11,12,aa,AA-2957-DFW-CVG,07:55,08:04,11:05,11:01
12,13,aa,,10::15 a.m.,10:18,12:10,11:56
13,14,aa,AA-3979-CVG-ORD,07:30,08:04,08:00,08:06
14,15,aa,AA-1279-DFW-PHX,13:00,14:04,14:35,15:30
15,16,aa,AA-1640-MIA-MCO,09:05,10:10,12:35,13:27
16,17,aa,AA-4344-ORD-DTW,11:45,12:13,14:00,14:10
17,18,flights,AA-2525-DFW-MIA,07:25,07:39,11:10,11:06
18,19,aa,AA-404-MIA-MCO,06:45,06:57,07:45,07:40
19,20,aa,AA-271-MIA-LAX,11:35,11:52,14:25,14:27
20,21,aa,AA-2050-ORD-MIA,10:40,11:05,14:45,14:46
21,22,aa,AA-4330-CVG-ORD,15:35,15:36,16:00,15:33
22,23,aa,AA-1434-DFW-MCO,07:15,07:21,10:35,10:36
23,24,aa,AA-4307-ORD-DTW,18:45,18:55,21:10,20:53
24,25,aa,AA-3-JFK-LAX,12:00,12:11,15:15,15:16
25,26,aa,AA-3842-MSP-ORD,06:00,06:56,07:30,07:51
26,27,aa,AA-643-MIA-ORD,07:10,07:30,09:35,09:31
27,28,aa,AA-1007-MIA-PHX,16:55,17:08,20:05,19:55
28,29,aa,AA-1221-MCO-ORD,8:00 p..m,20:23,21:45,21:53
29,30,aa,AA-400-DFW-JFK,10:40,11:01,14:59,15:04
30,31,aa,AA-4198-ORD-CLE,10:40,10:54,12:55,12:50
31,32,aa,AA-1522-SFO-ORD,23:55,23:55,05:50,05:50
32,33,aa,,21:00,21:00,00:15,00:15
33,34,aa,AA-2312-DFW-DTW,20:25,20:25,23:50,23:50
34,35,aa,AA-1165-JFK-MIA,06:59,07:22,10:34,10:04
35,36,aa,AA-431-MIA-SFO,08:35,08:51,11:50,11:44
36,37,aa,AA-649-ORD-SNA,13:30,13:30,15:50,15:50
37,38,aa,AA-3063-SLC-LAX,20:20,20:39,21:20,21:20
38,39,aa,AA-3804-PHL-ORD,14:35,14:44,16:05,15:43
39,40,aa,AA-1917-JFK-MCO,14:55,15:27,17:55,17:43
40,41,aa,AA-2268-PHX-ORD,07:15,07:22,11:35,11:06
41,42,aa,unknonw,12:10,12:10,14:15,13:43
42,43,aa,AA-789-ord-den,13:05,13:19,2:355 p.m.,15:13
43,44,aa,AA-415-BOS-ORD,08:35,08:56,10:40,10:16
44,45,aa,AA-85-JFK-SFO,15:05,15:36,18:30,18:43
45,46,aa,AA-1544-SAN-ORD,11:25,11:40,17:25,16:56
46,47,aa,AA-3786-IAH-ORD,16:00,16:12,18:40,18:15
47,48,aa,AA-222-LAX-BOS,07:10,07:31,15:30,15:14
48,49,aa,AA-3809-PHX-LAX,06:00,06:10,06:40,06:19
49,50,aa,AA-59-JFK-SFO,07:10,07:39,10:45,11:12
50,51,helloflight,AA-1640-MIA-MCO,07:10,07:16,09:40,09:32
51,52,helloflight,CO-1586-IAH-MCO,19:00,19:14,22:15,22:29
52,53,helloflight,AA-518-MIA-JFK,06:40,06:54,09:25,09:28
53,54,helloflight,UA-397-JFK-SFO,08:00,08:29,11:55,11:58
54,55,helloflight,UA-3925-IAD-ORF,08:41,08:42,09:54,09:43
55,56,helloflight,AA-1733-ORD-PHX,19:54,19:58,22:30,22:30
56,57,helloflight,UA-2830-MCO-CLT,15:27,15:27,17:05,17:17
57,58,helloflight,CO-58-DEN-IAH,11:25,11:32,14:50,15:31
58,59,helloflight,N/A,11:25,11:40,17:25,16:56
59,60,helloflight,UA-5487-SFO-MRY,10:39,10:33,11:19,11:21
60,61,helloflight,AA-204-LAX-MCO,23:25,23:25,06:55,06:55
61,62,helloflight,UA-414-LAX-SFO,06:00,05:56,07:23,07:17
62,63,helloflight,CO-1614-LAX-IAH,00:30,00:41,05:35,05:26
63,64,helloflight,UA-2726-FLL-PHL,16:00,16:00,18:46,18:28
64,65,helloflight,CO-52-IAH-LAX,07:35,07:29,09:21,09:14
65,66,helloflight,CO-1090-BOS-IAH,09:45,10:19,13:16,13:19
66,67,helloflight,AA-616-DFW-DTW,09:05,10:10,12:35,13:27
67,68,helloflight,UA-3515-IAD-MSP,08:15,08:12,10:06,09:56
68,69,helloflight,AA-3468-CVG-MIA,07:00,07:25,09:55,09:45
69,70,helloflight,AA-484-DFW-MIA,16:15,16:29,19:55,19:39
70,71,helloflight,AA-1886-BOS-MIA,10:45,10:55,14:20,13:40
71,72,helloflight,CO-62-IAH-EWR,14:30,14:48,19:03,19:10
72,73,helloflight,CO-1561-PHX-IAH,08:05,08:00,11:35,11:32
73,74,helloflight,unknown,14:55,14:55,17:00,16:47
74,75,helloflight,AA-446-DFW-PHL,11:50,12:12,15:50,16:09
75,76,helloflight,CO-1023-IAH-DEN,11:40,11:56,13:17,13:14
76,77,helloflight,AA-466-IAH-MIA,06:00,06:08,09:20,09:05
77,78,helloflight,UA-3050-PHX-CLT,11:05,11:30,16:57,17:05
78,79,helloflight,CO-89-IAH-EWR,06:00,06:02,10:20,10:27
79,80,helloflight,CO-1088-CLE-IAH,08:40,08:40,10:54,10:56
80,81,helloflight,AA-1664-MIA-ATL,10:15,10:18,12:10,11:56
81,82,helloflight,AA-1279-DFW-PHX,13:00,14:04,14:35,15:30
82,83,helloflight,UA-854-SFO-IAH,07:53,07:49,13:39,13:30
83,84,helloflight,UA-382-IAD-LAX,12:30,12:35,15:19,15:21
84,85,helloflight,AA-4344-ORD-DTW,11:45,12:13,14:00,14:10
85,86,helloflight,UA-257-JFK-SFO,14:30,14:26,18:15,17:42
86,87,helloflight,UA-2945-PHL-CLT,00:00,03:11,13:45,13:15
87,88,helloflight,CO-63-EWR-IAH,17:25,17:22,20:22,20:03
88,89,flights,CO-47-IAH-LAX,19:10,20:25,20:56,21:52
89,90,helloflight,AA-2050-ORD-MIA,10:40,11:05,14:45,14:46
90,91,helloflight,UA-248-PHX-ORD,12:57,13:32,17:15,17:34
91,92,helloflight,AA-4330-CVG-ORD,15:35,15:36,16:00,15:33
92,93,helloflight,AA-1434-DFW-MCO,07:15,07:21,10:35,10:36
93,94,helloflight,AA-1640-MIA-MCO,18:30,18:30,19:25,19:25
94,95,helloflight,AA-4307-ORD-DTW,18:45,18:55,21:10,8:53 p.mm.
95,96,helloflight,AA-3-JFK-LAX,12:00p .m.,12:11 p.mm.,15:15,15:16
96,97,helloflight,CO-1694-LAX-IAH,19:15,19:15,00:21,00:21
97,98,helloflight,UA-843-LAX-ORD,13:55,14:10,19:53,19:58
98,99,helloflight,CO-1193-EWR-MCO,09:15,09:14,12:18,12:09
99,100,helloflight,AA-3842-MSP-ORD,06:00,06:56,07:30,07:51
100,101,helloflight,AA-643-MIA-ORD,07:10,07:30,09:35,09:31
101,102,flights,AA-1007-MIA-PHX,4:5 5p.m.,17:08,20:05,19:55
102,103,helloflight,AA-2525-DFW-MIA,07:25,07:39,11:10,11:06
103,104,helloflight,AA-1640-MIA-MCO,15:50,16:28,18:23,18:38
104,105,helloflight,UA-938-DEN-ORD,16:16,16:15,19:35,19:36
105,106,helloflight,AA-1221-MCO-ORD,20:00,20:23,21:45,21:53
