row_id,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
0,1,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96.0,,al_scip-card-2
1,2,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,l,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96.0,,al_scip-inf-1
2,3,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,96.0,,al_scip-inf-2
3,4,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96.0,,al_scip-inf-3
4,5,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmiingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96.0,,al_scip-inf-4
5,6,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),96.0,,al_scip-inf-6
6,7,10018,CALLAHAN EYe foundation hospital,1720 University Blvd,,,Nn/A,AL,35233.0,jefferson,2053258100,acute care hospitals, ,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,96.0,,al_scip-vte-1
7,8,10018,callahan eye foundation hospital,1720 University Blvd,,,Birmingham,AL,35233.0,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,96.0,,al_scip-vte-2
8,9,10019,helen keller memorial hospital,1300 South Montgomery Avenue,,,Sheffield,AL,35660.0,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97.0,33 patients,al_ami-1
9,10,10019,helen keller memorial hospital,1300 South Montgomery Avenue,,,Sheffield,AL,35660.0,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92.0,13 patients,al_ami-2
