row_id,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,1,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-card-2,Surgery Patients Who Were Taking Heart Drugs Caxxed Beta Bxockers Before Coming To The Hospitax Who Were Kept On The Beta Bxockers During The Period Just Before And After Their Surgery,100%,0 patients,al_scip-card-2
2,2,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-inf-1,Surgery Patients Who Were Given An Antibiotic At The Right Time Within One Hour Before Surgery To Help Prevent Infection,100%,0 patients,al_scip-inf-1
3,3,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-inf-2,Surgery Patients Who Were Given The  Right Kind  Of Antibiotic To Help Prevent Infection,100%,0 patients,al_scip-inf-2
4,4,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-inf-3,Surgery Patients Whose Preventive Antibiotics Were Stopped At The Right Time Within 24 Hours After Surgery,100%,0 patients,al_scip-inf-3
5,5,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-inf-4,All Heart Surgery Patients Whose Blood Sugar Blood Glucose Is Kept Under Good Control In The Days Right After Surgery,100%,0 patients,al_scip-inf-4
6,6,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-inf-6,Surgery Patients Needing Hair Removed From The Surgical Area Before Surgery Who Had Hair Removed Using A Safer Method Electric Clippers Or Hair Removal Cream C Not A Razor,100%,0 patients,al_scip-inf-6
7,7,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-vte-1,Surgery Patients Whose Doctors Ordered Treatments To Prevent Blood Clots After Certain Types Of Surgeries,100%,0 patients,al_scip-vte-1
8,8,10018,Callahan Eye Foundation Hospital,1720 university blvd,,,birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,Surgical Infection Prevention,scip-vte-2,Patients Who Got Treatment  At The Right Time Within 24 Hours Before Or After Their Surgery To Help Prevent Blood Clots After Certain Types Of Surgery,100%,0 patients,al_scip-vte-2
9,9,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,,,sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Heart Attack,ami-1,Heart Attack Patients Given Aspirin At Arrival,97%,33 patients,al_ami-1
10,10,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,,,sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Heart Attack,ami-2,Heart Attack Patients Given Aspirin At Discharge,92%,13 patients,al_ami-2
11,11,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,,,sheffxeld,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Heart Attack,ami-3,Heart Attack Patients Given Ace Inhibitor Or Arb For Left Ventricular Systolic Dysfunction Lvsd,75%,4 patients,al_ami-3
12,12,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,,,sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Heart Attack,ami-4,Heart Attack Patients Given Smoking Cessation Advicecounseling,100%,4 patients,al_ami-4
13,13,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,,,sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,Heart Attack,ami-5,Heart Attack Patients Given Beta Blocker At Discharge,86%,14 patients,al_ami-5
