row_id,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
0,1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,empty,al_scip-card-2
1,2,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,empty,al_scip-inf-1
2,3,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,empty,al_scip-inf-2
3,4,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,empty,al_scip-inf-3
4,5,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,empty,al_scip-inf-4
5,6,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,empty,al_scip-inf-6
6,7,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,empty,al_scip-vte-1
7,8,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,0.0,0.0,35233,jefferson,2053258100,acute care hospitals,0.0,0.0,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,empty,al_scip-vte-2
8,9,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-1,heart attack patients given aspirin at arrival,97.0,33 patients,al_ami-1
9,10,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-2,heart attack patients given aspirin at discharge,92.0,13 patients,al_ami-2
10,11,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75.0,4 patients,al_ami-3
11,12,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100.0,4 patients,al_ami-4
12,13,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-5,heart attack patients given beta blocker at discharge,86.0,14 patients,al_ami-5
13,14,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
14,15,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
15,16,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart failure,hf-1,heart failure patients given discharge instructions,80.0,114 patients,al_hf-1
16,17,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99.0,149 patients,al_hf-2
17,18,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,3566O,jefferson,2563864556,acute care hospitals,0.0,0.0,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92.0,37 patients,al_hf-3
18,19,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,0.0,0.0,35660,jefferson,2563864556,acute care hospitals,0.0,0.0,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100.0,41 patients,al_hf-4
19,20,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-1,heart attack patients given aspirin at arrival,98.0,270 patients,al_ami-1
20,21,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-2,heart attack patients given aspirin at discharge,99.0,516 patients,al_ami-2
21,22,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96.0,71 patients,al_ami-3
22,23,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100.0,244 patients,al_ami-4
23,24,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-5,heart attack patients given beta blocker at discharge,99.0,441 patients,al_ami-5
24,25,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
25,26,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72.0,40 patients,al_ami-8a
26,27,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart failure,hf-1,heart failure patients given discharge instructions,78.0,455 patients,al_hf-1
27,28,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99.0,514 patients,al_hf-2
28,29,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91.0,165 patients,al_hf-3
29,30,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100.0,110 patients,al_hf-4
30,31,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,93.0,191 patients,al_pn-2
31,32,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89.0,125 patients,al_pn-3b
32,33,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,99.0,107 patients,al_pn-4
33,34,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92.0,196 patients,al_pn-5c
34,35,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),80.0,147 patients,al_pn-6
35,36,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84.0,160 patients,al_pn-7
36,37,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72.0,79 patients,al_scip-card-2
37,38,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94.0,399 patients,al_scip-inf-1
38,39,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98.0,405 patients,al_scip-inf-2
39,40,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88.0,385 patients,al_scip-inf-3
40,41,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96.0,136 patients,al_scip-inf-4
41,42,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90.0,537 patients,al_scip-inf-6
42,43,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86.0,185 patients,al_scip-vte-1
43,44,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,0.0,0.0,36302,houston,3347938701,acute care hospitals,0.0,0.0,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83.0,184 patients,al_scip-vte-2
44,45,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-1,heart attack patients given aspirin at arrival,80.0,20 patients,al_ami-1
45,46,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-2,heart attack patients given aspirin at discharge,60.0,5 patients,al_ami-2
46,47,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100.0,2 patients,al_ami-3
47,48,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,,0 patients,al_ami-4
48,49,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-5,heart attack patients given beta blocker at discharge,100.0,5 patients,al_ami-5
49,50,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
50,51,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
51,52,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart failure,hf-1,heart failure patients given discharge instructions,78.0,110 patients,al_hf-1
52,53,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99.0,160 patients,al_hf-2
53,54,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90.0,69 patients,al_hf-3
54,55,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,94.0,34 patients,al_hf-4
55,56,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97.0,172 patients,al_pn-2
56,57,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,97.0,120 patients,al_pn-3b
57,58,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,97.0,98 patients,al_pn-4
58,59,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96.0,211 patients,al_pn-5c
59,60,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),92.0,175 patients,al_pn-6
60,61,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,81.0,118 patients,al_pn-7
61,62,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36.0,14 patients,al_scip-card-2
62,63,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96.0,168 patients,al_scip-inf-1
63,64,10005,  marshall medical center south ,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,93.0,167 patients,al_scip-inf-2
64,65,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95.0,158 patients,al_scip-inf-3
65,66,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,al_scip-inf-4
66,67,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,0.0,0.0,35957,marshall,2565938310,acute care hospitals,0.0,0.0,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100.0,237 patients,al_scip-inf-6
