row_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
0,Resort Hotel,0.0,342,2015,July,27,1,0,0.0,2.0,,0,BB, ,Direct,Direct,0,0,0,C,C,3,No Deposit,9.0,,0.0,Transient,0.0,0,0,Check-Out,2015-07-01 00:00:00
1,Resort Hotel,0.0,737,2015,July,27,1,0,543.0,20.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,9.0,,0.0,Transient,0.0,0,0,Check-Out,2015-07-01 00:00:00
2,Resort Hotel,0.0,7,2015,July,27,1,0,1.0,1.0,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,9.0,,0.0,Transient,75.0,0,0,Check-Out,2015-07-02 00:00:00
3,Resort Hotel,0.0,13,2015,July,27,1,0,1.0,1.0,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0.0,Transient,75.0,0,0,Check-Out,2015-07-02 00:00:00
4,Resort Hotel,0.0,14,2015,July,27,1,0,2.0,2.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0.0,Transient,98.0,0,1,Check-Out,2015-07-03 00:00:00
5,Resort Hotel,0.0,14,2015,July,27,1,0,2.0,2.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0.0,Transient,98.0,0,1,Check-Out,2015-07-03 00:00:00
6,Resort Hotel,0.0,0kg,2015,July,27,1,0,2.0,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,9.0,,0.0,Transient,107.0,0,0,Check-Out,2015-07-03 00:00:00
7,Resort Hotel,0.0,9,2015,July,27,1,0,2.0,2.0,0.0,0,unknown,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0.0,Transient,103.0,0,1,Check-Out,2015-07-03 00:00:00
8,Resort Hotel,1.0,85,2015,July,27,1,0,3.0,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0.0,Transient,82.0,0,1,Canceled,2015-05-06 00:00:00
9,Resort Hotel,1.0,75,2015,July,27,1,0,3.0,2.0,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0.0,Transient,105.5,0,0,Canceled,2015-04-22 00:00:00
10,Resort Hotel,1.0,23,2015,July,27,1,0,4.0,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0.0,Transient,123.0,0,0,Canceled,2015-06-23 00:00:00
11,Resort Hotel,0.0,35,2015,July,27,1,0,4.0,2.0,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0.0,Transient,145.0,0,0,Check-Out,2015-07-05 00:00:00
12,Resort Hotel,0.0,68,2015,July,27,1,0,4.0,2.0,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,NO DEPOsit,240.0,,0.0,Transient,97.0,0,3,Check-Out,2015-07-05 00:00:00
13,Resort Hotel,0.0,18,2015,July,27,1,0,4.0,2.0,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0.0,Transient,154.77,0,1,Check-Out,2015-07-05 00:00:00
14,Resort Hotel,0.0,37,2015,July,27,1,0,4.0,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0.0,Transient,94.71,0,0,Check-Out,2015-07-05 00:00:00
15,Resort Hotel,0.0,68,2015,July,27,1,0,4.0,2.0,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0.0,Transient,97.0,0,3,Check-Out,2015-07-05 00:00:00
16,Resort Hotel,0.0,37,2015,July,27,1,0,4.0,2.0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0.0,CONtract,97.5,0,0,Check-Out,2015-07-05 00:00:00
17,Resort Hotel,0.0,12,2015,July,27,1,0,1.0,2.0,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0.0,Transiet,88.2,0,0,Check-Out,2015-07-02 00:00:00
18,Resort Hotel,0.0,0,2015,July,27,1,0,1.0,20.0,,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,9.0,110.0,0.0,Transient,107.42,0,0,Check-Out,2015-07-02 00:00:00
19,Resort Hotel,0.0,7,2015,July,27,1,0,4.0,2.0,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0.0,Transient,153.0,0,1,Check-Out,2015-07-05 00:00:00
20,Resort Hotel,0.0,3l7,2015,July,27,1,1,4.0,1.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0.0,Transient,97.29,0,1,Check-Out,2015-07-06 00:00:00
21,Resort Hotel,0.0,72,2015,July,27,1,2,4.0,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0.0,Transient,84.67,0,1,Check-Out,2015-07-07 00:00:00
22,Resort Hotel,0.0,72,2015,July,27,1,2,4.0,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0.0,Transient,84.67,0,1,Check-Out,2015-07-07 00:00:00
23,Resort Hotel,0.0,72,2015,July,27,1,2,4.0,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,9.0,,0.0,Transient,99.67,0,1,Check-Out,2015-07-07 00:00:00
24,Resort Hotel,0.0,127,2015,July,27,1,2,5.0,20.0,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,,0.0,Contract,94.95,0,1,Check-Out,2015-07-01 00:00:00
25,Resort Hotel,0.0,78,2015,July,27,1,2,5.0,2.0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0.0,Transient,63.6,1,0,Check-Out,2015-07-08 00:00:00
26,Resort Hotel,0.0,48S,2015,July,27,1,2,5.0,2.0,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0.0,Contract,79.5,0,0,Check-Out,2015-07-08 00:00:00
27,Resort Hotel,1.0,60,2015,July,27,1,2,5.0,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0.0,Transient,107.0,0,2,Canceled,2015-05-11 00:00:00
