row_id,PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size,Title_1,Title_2,Title_3,Title_4,Emb_1,Emb_2,Emb_3
0,396.5,0,1,0.275,0.014151057562208,0,0,1,0.1,1,0,0,0,0,0,1
1,396.5,1,0,0.475,0.1391357353826406,1,0,0,0.1,1,0,0,0,1,0,0
2,396.5,1,0,0.325,0.0154685698179998,0,0,1,0.0,0,0,0,1,0,0,1
3,396.5,1,0,0.4375,0.1036442974556203,1,0,0,0.1,1,0,0,0,0,0,1
4,396.5,0,1,0.4375,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
5,396.5,0,1,0.35,0.0165095020935757,0,0,1,0.0,1,0,0,0,0,1,0
6,396.5,0,1,0.675,0.101228858320002,1,0,0,0.0,1,0,0,0,0,0,1
7,396.5,0,1,0.025,0.0411356604308323,0,0,1,0.4,0,0,1,0,0,0,1
8,9.0,1,0,0.3375,0.0217307543665283,0,0,1,0.2,1,0,0,0,0,0,1
9,10.0,1,0,0.175,0.0586942926540201,0,1,0,0.1,1,0,0,0,1,0,0
10,11.0,1,0,0.05,0.032596229143293,0,0,1,0.2,0,0,0,1,0,0,1
11,12.0,1,0,0.725,0.0518221487278101,1,0,0,0.0,0,0,0,1,0,0,1
12,13.0,0,1,0.25,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
13,14.0,0,1,0.4875,0.0610447345183526,0,0,1,0.6,1,0,0,0,0,0,1
14,15.0,0,0,0.175,0.0153303774213923,0,0,1,0.0,0,0,0,1,0,0,1
15,16.0,1,0,0.6875,0.0312299201372867,0,1,0,0.0,1,0,0,0,0,0,1
16,17.0,0,1,0.025,0.0568482139999047,0,0,1,0.5,0,0,1,0,0,1,0
17,18.0,1,1,0.35,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
18,19.0,0,0,0.3875,0.0351336601544475,0,0,1,0.1,1,0,0,0,0,0,1
19,20.0,1,0,0.35,0.0141022608119935,0,0,1,0.0,1,0,0,0,1,0,0
