row_id,column,value_before,value_after
521,adr,1074.39,94.56
581,adr,3791.03,94.56
629,adr,4293.75,94.56
646,adr,1355.0,94.56
651,adr,2436.18,94.56
772,adr,1305.58,94.56
870,adr,-442.53,94.56
873,adr,2932.43,94.56
933,adr,5278.4,94.56
1020,adr,8628.3,94.56
1175,adr,8902.8,94.56
1279,adr,8342.62,94.56
1438,adr,7654.81,94.56
1463,adr,8877.05,94.56
1652,adr,7965.01,94.56
1659,adr,1834.86,94.56
1734,adr,7503.64,94.56
1750,adr,4978.0,94.56
1875,adr,9833.95,94.56
2116,adr,3938.71,94.56
2130,adr,3614.3,94.56
2312,adr,5078.57,94.56
2511,adr,7513.13,94.56
2560,adr,4711.03,94.56
2618,adr,4417.37,94.56
2621,adr,8847.77,94.56
2688,adr,3276.5,94.56
2701,adr,9272.19,94.56
2852,adr,1047.97,94.56
2963,adr,3472.25,94.56
2977,adr,5458.21,94.56
3451,adr,4558.52,94.56
3646,adr,801.35,94.56
3784,adr,1403.88,94.56
3852,adr,5557.04,94.56
4105,adr,5505.48,94.56
4177,adr,9219.71,94.56
4297,adr,-117.48,94.56
4408,adr,5423.0,94.56
4434,adr,1818.38,94.56
4780,adr,3649.96,94.56
4918,adr,4132.84,94.56
4967,adr,8720.55,94.56
5043,adr,7444.82,94.56
5143,adr,8199.74,94.56
5163,adr,6889.67,94.56
5179,adr,1209.99,94.56
5311,adr,7243.91,94.56
5324,adr,9731.38,94.56
5849,adr,2800.65,94.56
5962,adr,3585.52,94.56
6149,adr,8273.07,94.56
6172,adr,9405.51,94.56
6314,adr,2967.11,94.56
6338,adr,2362.16,94.56
6490,adr,6047.24,94.56
6577,adr,8990.99,94.56
6813,adr,2710.9,94.56
7263,adr,4510.95,94.56
7695,adr,7577.05,94.56
7901,adr,7438.98,94.56
7933,adr,4085.01,94.56
8021,adr,9893.14,94.56
8030,adr,-488.79,94.56
8360,adr,2894.29,94.56
8613,adr,3067.23,94.56
9028,adr,9261.14,94.56
9135,adr,8525.07,94.56
9257,adr,9010.81,94.56
9370,adr,7234.02,94.56
9384,adr,3928.54,94.56
9549,adr,5930.61,94.56
9594,adr,3163.04,94.56
9801,adr,4915.43,94.56
10001,adr,5825.31,94.56
10036,adr,5941.92,94.56
10044,adr,9260.52,94.56
10159,adr,7484.43,94.56
10243,adr,9625.92,94.56
10260,adr,4551.79,94.56
10377,adr,3152.96,94.56
10430,adr,8573.44,94.56
10549,adr,4533.88,94.56
10658,adr,8181.29,94.56
10712,adr,1585.13,94.56
10716,adr,7201.4,94.56
10764,adr,9603.1,94.56
10780,adr,872.89,94.56
10893,adr,6308.18,94.56
10924,adr,5023.64,94.56
11084,adr,1989.15,94.56
11129,adr,-235.35,94.56
11132,adr,9463.17,94.56
11201,adr,2804.53,94.56
11215,adr,3156.9,94.56
11301,adr,1131.67,94.56
11304,adr,3288.51,94.56
11350,adr,-243.27,94.56
11384,adr,4172.67,94.56
11414,adr,7371.91,94.56
11500,adr,6484.75,94.56
11773,adr,7368.21,94.56
11906,adr,3380.5,94.56
12076,adr,9396.97,94.56
12248,adr,6935.94,94.56
12497,adr,3637.76,94.56
12530,adr,8657.1,94.56
12563,adr,980.79,94.56
12565,adr,7333.71,94.56
12665,adr,-46.66,94.56
12678,adr,5461.33,94.56
12769,adr,8179.42,94.56
12866,adr,1811.66,94.56
12952,adr,6832.34,94.56
13160,adr,5617.77,94.56
13499,adr,9812.52,94.56
13541,adr,6564.96,94.56
13550,adr,1112.08,94.56
13712,adr,8430.47,94.56
13750,adr,-277.86,94.56
13812,adr,7353.9,94.56
13971,adr,4499.41,94.56
14087,adr,8156.36,94.56
14095,adr,1745.22,94.56
14112,adr,3923.44,94.56
14203,adr,8222.39,94.56
14270,adr,2172.77,94.56
14314,adr,2558.96,94.56
14342,adr,2204.93,94.56
14506,adr,7306.33,94.56
14557,adr,6902.8,94.56
14603,adr,7891.84,94.56
14681,adr,1770.83,94.56
14874,adr,2378.41,94.56
14945,adr,4206.53,94.56
14969,adr,-6.38,94.56
15107,adr,8215.2,94.56
15144,adr,9870.3,94.56
15217,adr,5340.0,94.56
15289,adr,5269.68,94.56
15365,adr,1605.91,94.56
15378,adr,9261.5,94.56
15409,adr,4960.76,94.56
15547,adr,6209.79,94.56
15635,adr,-270.77,94.56
15686,adr,7110.58,94.56
15702,adr,9709.64,94.56
15976,adr,7682.33,94.56
15984,adr,2027.91,94.56
16249,adr,3086.15,94.56
16334,adr,1399.29,94.56
16532,adr,3293.64,94.56
16540,adr,847.08,94.56
16545,adr,3478.11,94.56
16606,adr,4060.67,94.56
16607,adr,5951.05,94.56
16619,adr,4605.02,94.56
16646,adr,4712.38,94.56
16652,adr,4281.2,94.56
16743,adr,8296.03,94.56
17001,adr,2079.85,94.56
17024,adr,4206.27,94.56
17066,adr,8402.29,94.56
17081,adr,8892.37,94.56
17119,adr,6390.41,94.56
17180,adr,2486.17,94.56
17288,adr,2518.47,94.56
17353,adr,7928.57,94.56
17578,adr,2908.76,94.56
17585,adr,7039.65,94.56
17628,adr,4220.09,94.56
17684,adr,1601.93,94.56
17948,adr,5726.04,94.56
17965,adr,6388.78,94.56
17975,adr,3170.42,94.56
18030,adr,5579.26,94.56
18177,adr,6414.05,94.56
18238,adr,9257.04,94.56
18245,adr,9789.77,94.56
18482,adr,-85.0,94.56
18505,adr,3287.97,94.56
18609,adr,4964.8,94.56
18747,adr,-221.41,94.56
18813,adr,9212.11,94.56
19006,adr,1619.61,94.56
19078,adr,3059.75,94.56
19090,adr,4683.56,94.56
19513,adr,9429.78,94.56
19531,adr,6358.51,94.56
19536,adr,8347.87,94.56
19619,adr,2231.94,94.56
19653,adr,-220.93,94.56
19677,adr,4510.61,94.56
19694,adr,2325.87,94.56
19763,adr,9179.92,94.56
19788,adr,2249.91,94.56
20138,adr,2364.45,94.56
20208,adr,4605.95,94.56
20329,adr,3467.3,94.56
20366,adr,3752.44,94.56
20620,adr,-163.54,94.56
20625,adr,6955.18,94.56
20670,adr,6992.66,94.56
20737,adr,3036.99,94.56
20751,adr,6333.34,94.56
20934,adr,3544.26,94.56
20936,adr,7853.02,94.56
21004,adr,8625.06,94.56
21189,adr,4169.22,94.56
21256,adr,3734.37,94.56
21421,adr,4147.89,94.56
21534,adr,1970.19,94.56
21554,adr,4556.71,94.56
21581,adr,8693.16,94.56
21585,adr,7485.73,94.56
21736,adr,3377.36,94.56
21860,adr,1548.8,94.56
22295,adr,1342.35,94.56
22408,adr,8981.39,94.56
22830,adr,9586.58,94.56
22974,adr,7300.52,94.56
22988,adr,2493.79,94.56
23015,adr,5592.52,94.56
23133,adr,9323.19,94.56
23296,adr,1656.6,94.56
23477,adr,7529.95,94.56
23593,adr,7390.96,94.56
23648,adr,3097.83,94.56
23697,adr,5670.17,94.56
23814,adr,2387.83,94.56
23913,adr,2663.86,94.56
23964,adr,3648.57,94.56
24025,adr,3717.45,94.56
24031,adr,9945.65,94.56
24050,adr,4714.2,94.56
24058,adr,4004.77,94.56
24769,adr,3824.36,94.56
24934,adr,9506.24,94.56
25393,adr,3497.69,94.56
25932,adr,5996.51,94.56
26099,adr,4523.25,94.56
26488,adr,8027.29,94.56
26837,adr,5998.62,94.56
26866,adr,3401.2,94.56
26884,adr,2129.55,94.56
27086,adr,1922.84,94.56
